Date ,Open ,High ,Low ,Close ,Daily Return
09-Sep-21,36725.5,36857.2,36566.7,36683.2,-0.231178029
13-Sep-21,36608.45,36724.85,36327.05,36471.8,-0.576285602
14-Sep-21,36639.95,36756,36529.65,36613.05,0.387285519
15-Sep-21,36543.55,36949.7,36496.05,36852.25,0.653318967
16-Sep-21,36946,37720.15,36907.75,37668.6,2.215197172
17-Sep-21,37929.5,38112.75,37396.05,37811.95,0.380555688
20-Sep-21,37388.2,37802.75,37068.45,37145.7,-1.7620091
21-Sep-21,37238.4,37340.7,36525.95,37235.85,0.242692963
22-Sep-21,37277.1,37328.6,36885.6,36944.65,-0.782042037
23-Sep-21,37241.25,37830.75,37216.15,37771.7,2.238619123
24-Sep-21,37954,38112.6,37680,37830.3,0.155142607
27-Sep-21,38054.75,38355.2,37968.2,38171.25,0.901261687
28-Sep-21,38360,38377.25,37315.2,37945,-0.592723581
29-Sep-21,37601.1,37923.45,37371.05,37743,-0.532349453
30-Sep-21,37677.8,37884.85,37354.25,37425.1,-0.842275389
01-Oct-21,37140.4,37299.4,36876.35,37225.9,-0.532263107
18-Oct-21,39794.25,39947.6,39569.55,39684.8,0
19-Oct-21,39927.3,40011.15,39394.25,39540.5,-0.363615288
20-Oct-21,39545.45,39774.55,39292.8,39518.2,-0.056397871
21-Oct-21,39676.55,40200.45,39428.1,40030.2,1.295605569
22-Oct-21,40192.65,40587.35,40149.55,40323.65,0.733071531
25-Oct-21,40961.25,41829.6,40508.1,41192.4,2.154442864
26-Oct-21,41057.75,41367.25,40829.15,41238.3,0.111428322
27-Oct-21,41234.55,41347,40750,40874.35,-0.882553355
28-Oct-21,40915.15,40931.05,39350.2,39508.95,-3.340481255
29-Oct-21,39424.55,39775.25,38426.65,39115.6,-0.9955972
01-Nov-21,39432.15,39862.6,39120.65,39763.75,1.657011525
02-Nov-21,39796.9,40107.6,39590.7,39938.45,0.439344881
03-Nov-21,40040.65,40160.2,39304.85,39402.05,-1.343066644
04-Nov-21,39669.1,39734.7,39514.15,39573.7,0.435637232
08-Nov-21,39674.05,39674.05,38932.15,39438.25,-0.342272772
09-Nov-21,39517.85,39560.6,39223.4,39368.8,-0.176098077
10-Nov-21,39206.2,39220.3,38873.8,39023.25,-0.877725509
11-Nov-21,38913.05,38929.95,38346.05,38560.2,-1.186600296
12-Nov-21,38707.15,38822.85,38467.8,38733.35,0.449038127
15-Nov-21,38849.45,39117.15,38606.6,38702.35,-0.080034389
16-Nov-21,38710.9,38724.7,38211.1,38307.1,-1.021255815
17-Nov-21,38113.4,38456.3,37981.2,38041.55,-0.69321353
18-Nov-21,38071.9,38233.95,37748.45,37976.25,-0.171654415
22-Nov-21,38232.15,38241,36655.4,37128.8,-2.231526283
23-Nov-21,36787,37448.75,36647.55,37272.8,0.38783909
24-Nov-21,37384.75,37891.9,37238.05,37441.95,0.453816188
25-Nov-21,37362.05,37507.95,37118.4,37364.75,-0.206185842
26-Nov-21,36830.9,36868.9,35904.1,36025.5,-3.584260566
29-Nov-21,36224.45,36347.85,35327.9,35976.45,-0.136153558
30-Nov-21,35958.8,36774.2,35526.35,35695.3,-0.781483443
01-Dec-21,35902.9,36445.35,35805,36364.9,1.875877216
02-Dec-21,36281.85,36563.5,36166.7,36508.25,0.394198802
16-Dec-21,37092.95,37159.3,36385.75,36548.65,0
17-Dec-21,36491.8,36550.75,35535.05,35618.65,-2.544553629
20-Dec-21,35124.35,35231.1,34018.45,34439.85,-3.309502185
21-Dec-21,34863.35,35050,34389.95,34607.85,0.487807003
22-Dec-21,34865.25,35112.1,34687.6,35029.5,1.218365197
23-Dec-21,35350.5,35477.3,35046.25,35191.15,0.461468191
24-Dec-21,35282.2,35327.95,34583.4,34857.05,-0.949386422
27-Dec-21,34573.65,35143.7,34233,35057.9,0.576210551
28-Dec-21,35308.3,35352.4,35037.9,35183.8,0.359120198
29-Dec-21,35168.85,35378.3,34890.8,35045.4,-0.393362854
30-Dec-21,34977.65,35179.05,34751.25,35063.6,0.051932636
31-Dec-21,35114.4,35596.95,35113.75,35481.7,1.192404659
03-Jan-22,35585.2,36492.1,35526.6,36421.9,2.649816666
04-Jan-22,36551.25,36887.8,36374.4,36840.15,1.14834756
05-Jan-22,36943.55,37862.4,36756.35,37695.9,2.322873278
06-Jan-22,37242.55,37752.5,37058.45,37490.25,-0.545550047
07-Jan-22,37667.05,38134.85,37427.8,37739.6,0.665106261
10-Jan-22,37930.55,38400.35,37929.35,38347.9,1.611834784
11-Jan-22,38370,38504.6,38031.75,38442.2,0.245906556
12-Jan-22,38719.6,38851.45,38604.6,38727.55,0.74228322
13-Jan-22,38717.55,38717.55,38376.15,38469.95,-0.665159557
14-Jan-22,38302.35,38448.05,38007.75,38370.4,-0.258773406
17-Jan-22,38212.55,38617.5,38138.25,38216.15,-0.402002585
18-Jan-22,38337.4,38855.55,38095.4,38210.3,-0.015307664
19-Jan-22,38145.75,38330.5,37769.25,38041.35,-0.442158266
20-Jan-22,38106.1,38167.95,37591.85,37850.85,-0.500770872
21-Jan-22,37522.35,37741,37224.25,37574.3,-0.730630884
24-Jan-22,37601.95,37694.7,36375.35,36947.55,-1.668028413
25-Jan-22,36598.05,37788.8,36415.6,37706.75,2.054804716
27-Jan-22,37058.2,38147.65,37012.25,37982.1,0.730240607
28-Jan-22,38246.6,38421.7,37581.5,37689.4,-0.770626163
31-Jan-22,38091.8,38217.25,37647.85,37975.35,0.758701386
01-Feb-22,38460.45,38802.7,37690.6,38505.5,1.396037166
02-Feb-22,38841.55,39386.6,38752.65,39330.5,2.142551064
03-Feb-22,39255.7,39424.85,38861.15,39010,-0.814889208
17-Feb-22,38042.1,38124.5,37425.6,37531.65,0
18-Feb-22,37344.45,37817.55,37304.45,37599.15,0.179848208
21-Feb-22,37400,38054.4,37156.8,37685.6,0.229925411
22-Feb-22,36833,37659.4,36818.1,37371.65,-0.833076825
23-Feb-22,37628.55,37774.6,37318,37392.05,0.054586833
24-Feb-22,36085.2,36709.15,34991.35,35228.1,-5.787192732
25-Feb-22,35901.7,36684.65,35768.2,36430.75,3.413894022
28-Feb-22,35938.95,36270.25,35611.9,36205.3,-0.618845344
02-Mar-22,35381.9,35553.7,34897.45,35372.8,-2.299387106
03-Mar-22,35621.15,35804.15,34721.15,34944.3,-1.211382757
04-Mar-22,34526.1,35097.75,34094.1,34407.8,-1.535300464
07-Mar-22,33278.15,33543.3,32376.5,32871.25,-4.465702544
08-Mar-22,32531.9,33263.55,32155.35,33158.1,0.87264707
09-Mar-22,33278.9,33969.5,32948.9,33815.45,1.982471855
10-Mar-22,35153.95,35374.15,34218.05,34475.6,1.952214151
11-Mar-22,34331,34880.05,34094.3,34546.25,0.204927543
14-Mar-22,34660.25,35435.1,34625.05,35312.15,2.217027897
15-Mar-22,35467.95,35643.8,34706.05,35022.65,-0.819831135
16-Mar-22,35555.75,35806.35,35461.55,35748.25,2.071802105
17-Mar-22,36302,36611.95,36261.65,36428.55,1.903030218
21-Mar-22,36545.85,36600.2,35900.2,36018.5,-1.125628113
22-Mar-22,35975.6,36468.8,35384.75,36348.55,0.916334661
23-Mar-22,36627.7,36827.6,36064.75,36147.35,-0.553529646
24-Mar-22,35633.7,35957.7,35421.7,35527.1,-1.71589342
25-Mar-22,35700.4,35717.4,35203.85,35410.1,-0.329326064
28-Mar-22,35488.7,35770.8,35016.3,35710.5,0.848345529
29-Mar-22,35931.75,35977.2,35506.55,35847.4,0.383360636
30-Mar-22,36241.55,36421.1,36070.55,36334.3,1.358257503
31-Mar-22,36457.2,36590.85,36278.15,36373.6,0.10816226
01-Apr-22,36298.35,37209.8,36242.35,37148.5,2.130391273
19-Apr-22,36806.8,37123.55,35926.3,36341.6,0
20-Apr-22,36482.6,36513.85,36114.05,36314.9,-0.073469523
